Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,28,0.4
2022,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,84,1.3
2022,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,"6,967",105.1
2022,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,"7,695",116.1
2022,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","3,079",46.4
2022,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,"15,795",238.2
2022,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,"11,397",171.9
2022,March,A Crimes against the person,A30 Sexual offences,A31 Rape,"4,448",67.1
2022,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"5,903",89.0
2022,March,A Crimes against the person,A30 Sexual offences,A33 Incest,450,6.8
2022,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,"2,634",39.7
2022,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,864,13.0
2022,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,185,2.8
2022,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,545,8.2
2022,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,4,0.1
2022,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,096",31.6
2022,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,292,4.4
2022,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,191,2.9
2022,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,93,1.4
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,"1,583",23.9
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,"1,091",16.5
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,"2,270",34.2
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,"1,190",17.9
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,"4,155",62.7
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,"3,136",47.3
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,"1,430",21.6
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,38,0.6
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,"1,275",19.2
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,"3,338",50.3
2022,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,"1,754",26.5
2022,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,67,1.0
2022,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,307,4.6
2022,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,"34,488",520.1
2022,March,B Property and deception offences,B20 Property damage,B22 Graffiti,"3,166",47.7
2022,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,432,6.5
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,"3,920",59.1
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,119,1.8
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,6,0.1
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,"16,465",248.3
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,"9,464",142.7
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,76,1.1
2022,March,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,851",224.0
2022,March,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"47,126",710.7
2022,March,B Property and deception offences,B40 Theft,B43 Steal from a retail store,"18,482",278.7
